category,sport,name,img_url
kinetic,Modern Pentathlon,Tokyo2020 PictogramModernPentathlonKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/5/59/Tokyo2020_PictogramModernPentathlonKinetic.gif
kinetic,Rhythmic Gymnastics,Tokyo2020 PictogramRhythmicGymnasticsKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/3/33/Tokyo2020_PictogramRhythmicGymnasticsKinetic.gif
kinetic,Rowing,Tokyo2020 PictogramRowingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/1/1f/Tokyo2020_PictogramRowingKinetic.gif
kinetic,Rugby,Tokyo2020 PictogramRugbyKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/5/5b/Tokyo2020_PictogramRugbyKinetic.gif
kinetic,Sailing,Tokyo2020 PictogramSailingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/1/1d/Tokyo2020_PictogramSailingKinetic.gif
kinetic,Shooting,Tokyo2020 PictogramShootingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/9/97/Tokyo2020_PictogramShootingKinetic.gif
kinetic,Skateboarding,Tokyo2020 PictogramSkateboardingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/9/92/Tokyo2020_PictogramSkateboardingKinetic.gif
kinetic,Sport Climbing,Tokyo2020 PictogramSportClimbingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/4/4c/Tokyo2020_PictogramSportClimbingKinetic.gif
kinetic,Surfing,Tokyo2020 PictogramSurfingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/d/d3/Tokyo2020_PictogramSurfingKinetic.gif
kinetic,Swimming,Tokyo2020 PictogramSwimmingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/7/7e/Tokyo2020_PictogramSwimmingKinetic.gif
kinetic,Table Tennis,Tokyo2020 PictogramTableTennisKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/6/6f/Tokyo2020_PictogramTableTennisKinetic.gif
kinetic,Taekwondo,Tokyo2020 PictogramTaekwondoKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/e/ea/Tokyo2020_PictogramTaekwondoKinetic.gif
kinetic,Tennis,Tokyo2020 PictogramTennisKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/8/82/Tokyo2020_PictogramTennisKinetic.gif
kinetic,Trampoline Gymnastics,Tokyo2020 PictogramTrampolineGymnasticsKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/9/96/Tokyo2020_PictogramTrampolineGymnasticsKinetic.gif
kinetic,Triathlon,Tokyo2020 PictogramTriathlonKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/2/22/Tokyo2020_PictogramTriathlonKinetic.gif
kinetic,Volleyball,Tokyo2020 PictogramVolleyballKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/8/87/Tokyo2020_PictogramVolleyballKinetic.gif
kinetic,Water Polo,Tokyo2020 PictogramWaterPoloKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/7/77/Tokyo2020_PictogramWaterPoloKinetic.gif
kinetic,Weightlifting,Tokyo2020 PictogramWeightliftingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/b/bb/Tokyo2020_PictogramWeightliftingKinetic.gif
kinetic,Wrestling,Tokyo2020 PictogramWrestlingKinetic.gif,https://static.wikia.nocookie.net/logopedia/images/b/bb/Tokyo2020_PictogramWrestlingKinetic.gif
paralympics,Archery,Tokyo2020Para PictogramArcheryFree.svg,https://static.wikia.nocookie.net/logopedia/images/3/3c/Tokyo2020Para_PictogramArcheryFree.svg
paralympics,Athletics,Tokyo2020Para PictogramAthleticsFree.svg,https://static.wikia.nocookie.net/logopedia/images/5/5a/Tokyo2020Para_PictogramAthleticsFree.svg
paralympics,Badminton,Tokyo2020Para PictogramBadmintonFree.svg,https://static.wikia.nocookie.net/logopedia/images/a/ad/Tokyo2020Para_PictogramBadmintonFree.svg
paralympics,Boccia,Tokyo2020Para PictogramBocciaFree.svg,https://static.wikia.nocookie.net/logopedia/images/9/94/Tokyo2020Para_PictogramBocciaFree.svg
paralympics,Canoe Sprint,Tokyo2020Para PictogramCanoeSprintFree.svg,https://static.wikia.nocookie.net/logopedia/images/0/03/Tokyo2020Para_PictogramCanoeSprintFree.svg
paralympics,Cycling Road,Tokyo2020Para PictogramCyclingRoadFree.svg,https://static.wikia.nocookie.net/logopedia/images/e/ea/Tokyo2020Para_PictogramCyclingRoadFree.svg
paralympics,Cycling Track,Tokyo2020Para PictogramCyclingTrackFree.svg,https://static.wikia.nocookie.net/logopedia/images/2/2f/Tokyo2020Para_PictogramCyclingTrackFree.svg
paralympics,Equestrian,Tokyo2020Para PictogramEquestrianFree.svg,https://static.wikia.nocookie.net/logopedia/images/0/0a/Tokyo2020Para_PictogramEquestrianFree.svg
paralympics,Football 5-a-side,Tokyo2020Para PictogramFootball5ASideFree.svg,https://static.wikia.nocookie.net/logopedia/images/d/db/Tokyo2020Para_PictogramFootball5ASideFree.svg
